Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,Wiki Fandom Descriptions,Wikipedia Episode Descriptions
1,16,The Party,1/5/14,8.5,3192,"The officers in the precinct head over to Holt's house to celebrate his birthday, but they wind up making a poor impression on his husband.","The entire squad is invited to Captain Holt's birthday party, where Terry struggles to make everyone behave properly. Boyle meets an older woman named Vivian.
","The entire squad is invited to Captain Holt's birthday party, where Terry struggles to keep everyone in line. Jake tries to make a great first impression with Holt's husband Kevin, as does Amy with Holt, but with disastrous results. Boyle's love of food leads him to make a new romantic connection with an older woman named Vivian, while Rosa unleashes Gina onto a group ofabnormal psychologistswho find her fascinating."
1,17,Full Boyle,8/5/14,7.9,2873,"Jake tries to keep Charles from going ""full Boyle"" on his new girlfriend. Meanwhile, Rosa and Amy are reluctant to help an amateur caped crime fighter, and Holt faces competition for the presidency of a police organization he founded.","Boyle's tendency to go way overboard and become extremely clingy with his love interests (which Peralta calls ""Full Boyle"") has him calling on Jake to act as a buffer on his next date with Vivian. Sergeant Jeffords takes a case from Rosa and Amy and gives it to Hitchcock and Scully.
","Boyle's tendency to go way overboard and become extremely clingy with his love interests (which Peralta calls ""Full Boyle"") has him calling on Jake to act as a buffer on his next date with Vivian. Little does he know that Vivian is about to go Full Boyle on him. Sergeant Jeffords pulls a drug case from Rosa and Amy and gives it to Scully and Hitchcock, because the ladies chose to dismiss a geeky, wannabe superhero named Super Dan who nonetheless had useful information. Meanwhile, Holt faces a challenge for his position as president of a black LGBT police organization which he started 25 years ago."
1,18,The Apartment,15/05/2014,7.7,2785,"Due to his crippling debt, Jake faces losing his apartment, and asks Gina for help. Rosa and Charles clash with one of the weekend officers, and Holt and Terry ask their officers to conduct self-evaluations.","Jake risks losing his apartment due to crushing debt unless Gina can help out. Meanwhile, Captain Holt and Terry conduct performance reviews on the detectives, and Rosa and Charles run into issues with a weekend squad officer.
","Peralta learns that his grandmother's apartment where he has been living is going ""co-op"", and he would have to pay nearly a half million dollars to keep living there. He goes to a loan shark for a down payment, before Gina convinces him to search for a new apartment instead. Holt starts collecting self-evaluations from the detectives, leading to much stress among the department, especially for Santiago. Boyle and Rosa take revenge on an un-hygienic co-worker who uses Rosa's desk on a different shift."
1,19,Tactical Village,22/05/2014,8.5,2990,"Jake tries to set a new record on a training course, Rosa is angry when she does not get an invite to Charles' wedding, and Gina helps Holt overcome his newfound addiction to a game on his smartphone.","
The precinct attends a mandatory training course where Amy runs into an officer she used to date. Meanwhile, Captain Holt is unable to quit playing a game on his phone, and Rosa is angry at Charles for not inviting her to his wedding. ","The squad heads to the ""Tactical Village"" where they and other precincts run paintball simulations and test new equipment. Peralta gets jealous when Santiago runs into her old boyfriend Teddy, Rosa gets angry when Boyle doesn't invite her to his wedding, and Gina and Holt struggle with ""Kwazy Kupcakes""."
1,20,Fancy Brudgom,29/05/2014,7.6,2775,"Jake tries to convince Charles to stand up to Vivian before the wedding, Terry struggles to stick to a diet after Amy and Gina give up, and Holt tries to get Rosa to make a sincere apology to an officer she offended.","Charles asks Jake to be the best man at his wedding. Meanwhile, Terry, Amy and Gina start a new extreme diet, and Captain Holt assists Rosa in making a sincere apology.
","Boyle makes Peralta his best man, which means cake tasting, picking stationery, and helping Charles convince Vivian that he doesn't want to relocate to Canada. Meanwhile Gina, Amy, and the Sergeant attempt a team diet plan, and Holt makes Rosa apologize to a patrol officer whom she humiliated."
1,21,Unsolvable,5/6/14,8.2,2819,"Jake and Terry try to solve an apparently unsolvable case, Amy lies to Holt in order to dodge work and escape for a romantic weekend away, while Gina and Rosa introduce Charles to ""Babylon"", their secret bathroom.","Jake and Terry try to solve an unsolvable case that they worked on eight years ago while Amy lies to Captain Holt about pulling out her wisdom teeth to get out of a community organization so that she and Teddy can go on a romantic trip to Berkshires. Charles and Vivian are trying to decide about moving to Ottawa, but it is hard for Boyle to find some privacy at the precinct so Rosa and Gina let him use their secret bathroom, Babylon, but Hitchcock and Scully also want to be in on the secret.
","When Jake is allowed the weekend off because of a hot streak in solving cases, he decides to take on an 8-year old cold case that everyone believes is unsolvable. With the help of Sgt. Terry, the two try to crack the case once and for all and, thanks to Jake pulling an all-nighter he finally solves the case by working out that the supposed murder victim isn't even dead. Meanwhile, Amy plans a romantic trip with new boyfriend Teddy, but an unexpected event with Captain Holt jeopardizes it. Gina and Rosa let a downtrodden Charles in on one of the best-kept secrets of the precinct, their secret bathroom named Babylon, demanding he be silent about it. But Scully and Hitchcock do some of their best detective work ever to figure out what Charles is hiding."
1,22,Charges and Specs,12/6/14,8.9,3450,"Jake's latest investigation results in administrative leave, and, ultimately, his firing from the NYPD. Meanwhile, Charles goes into a funk after Vivian breaks up with him before their wedding, and the others try to cheer him up.","Jake works on an investigation involving philanthropic civic leader Lucas Wint much to the chagrin of Commissioner Podolski. Meanwhile, Charles is devastated over breaking up with Vivian, and Rosa and Terry try to cheer him up. Gina incorporates emoji into her everyday speech.
","Jake's investigation of philanthropic civic leader Lucas Wint is shut down by Commissioner Podolski, resulting in a likely suspension for Jake. Still determined to crack the case, Jake enlists an unnaturally rebellious Amy and a reluctant Captain Holt to help him uncover more evidence, but Holt uncovers a larger conspiracy that will require a greater sacrifice from Jake in order to solve the case. Jake finally tells Amy he has feelings for her, leaving her conflicted. Meanwhile, Charles is devastated over breaking up with Vivian, and Rosa and Terry try to cheer him up. Gina incorporatesemojiinto her everyday speech."
2,1,Undercover,15/01/2015,8.2,2924,"Jake's undercover operation ends in a successful sting, until he learns one mobster has gotten away. Jake enlists Charles' help to track him down, and Holt tests the squad with practice drills. But can Charles keep his new secret from Jake?","Jake's undercover operation ends in a successful sting, until he learns one mobster has gotten away. Jake enlists Charles' help to track him down, and Holt tests the squad with practice drills.
","Jake makes a triumphant return from his undercover assignment with the FBI, but when he discovers one of his targets had made an escape, he goes back undercover with help from Boyle to complete the mission. Amy is still dating Teddy, so Jake tells her that he didn’t mean what he said earlier about him liking her. Captain Holt forces Amy and Rosa to do a series of drills involving Terry acting out various scenarios, without explaining why. Gina is worried Boyle will tell Jake about their tryst together, but he manages not to out of fear of Gina."
2,2,Chocolate Milk,22/01/2015,7.7,2752,"Holt's old nemesis is in charge of the precinct inspection, Peralta and Jeffords investigate a stabbing before Jeffords goes in for his vasectomy, and Boyle needs a plus-one for his ex-wife's wedding.","Holt's old nemesis is in charge of the precinct inspection, Peralta and Jeffords investigate a stabbing before Jeffords goes in for his vasectomy, and Boyle needs a plus-one for his ex-wife's wedding.
","Jake steps in to help Terry when he has a key medical appointment to get a vasectomy, but quickly becomes frustrated when Terry denies his true feelings and insists Jake is just ""a work friend, not a friend-friend."" Captain Holt's fears about the NYPD's reorganization are realized when his old adversary Madeleine Wuntch, now the Deputy Commissioner shows up to conduct a critical review of the 99th's competence. Boyle scrambles for a date to the engagement party of his ex-wife and her boyfriend (who are also his landlords) until Diaz steps in to help him out. Jake tries to get Terry out of his vasectomy after Terry confesses that he doesn’t want it."
2,3,The Jimmy Jab Games,29/01/2015,8.3,2872,"The precinct holds a competition while on stand-by for a motorcade, Holt has another run-in with Deputy Chief Wuntch, Boyle needs to get an incriminating videotape from Hitchcock, and Rosa thinks Peralta still has feelings for Santiago.","The precinct holds a compeltition while on stand-by for a motorcade, Holt has another run-in with Deputy Chief Wuntch, Boyle needs to get an incriminating videotape from Hitchcock, and Diaz thinks Peralta still has feelings for Santiago.
","The combination of a travel delay for the soon-arriving Serbian President's motorcade and a meeting for Captain Holt and Terry at 1 Police Plaza leads to a wacky competition amongst the detectives known as the Jimmy Jab Games (so named because of Peralta's misunderstanding of former Iranian PresidentMahmoud Ahmadinejad's name). Peralta wants the number of Rosa's attractive friend, while Gina orders Boyle to snatch a tape from an oblivious but ultimately vindictive Hitchcock. Holt and Wuntch's feud spirals forward when they fight over funding to investigate a new drug showing up in the precinct named 'Gigglepig'. Jake realizes that he still has feelings for Amy and lets her win the Jimmy Jabs. Rosa gives her friend Katie’s number to Jake even after his loss to help him move on."
2,4,Halloween II,19/10/2014,8.8,3222,"The Peralta/Holt annual Halloween bet continues when Jake challenges the Captain that he can steal his watch before midnight. Meanwhile, Gina is upset that her dance team, Floorgasm, kicks her off the squad and Terry confronts her about her bad attitude.","The Peralta and Holt annual Halloween bet continues when Jake challenges the Captain that he can steal his watch before midnight. Meanwhile, Gina is upset that her dance team, Floorgasm, kicks her off the squad and Terry confronts her about her bad attitude.
","Eager to engage in another Halloween bet following Peralta's win the previous year, Peralta and Holt raise the stakes, and Jake enlists a repeat offender to help snag the captain's watch before midnight, or he will have to do five weekends of free overtime – the actual outcome. Meanwhile, Amy and Rosa are upset when Terry doesn't punish Gina for skipping out on her duties at the precinct to attend dance practice. It is revealed that Gina has been secretly going back to college which has caused her to miss dance rehearsals. The Halloween bet takes a turn when Jake and Boyle try to retrieve Holt’s watch that “Fingers” stole. In the end Holt wins the bet and reveals that he has been planning the revenge ever since his defeat last year."
2,5,The Mole,2/11/14,8.2,2739,"There's a mole in the precinct and Holt and Jake need to find out who it is before Deputy Chief Madeline Wuntch gets wind of it. Meanwhile, Terry and Rosa visit a ""silent"" disco to uncover new leads for their new drug task force.","There's a mole in the precinct and Holt and Jake need to find out who it is before Deputy Chief Madeline Wuntch gets wind of it. Meanwhile, Terry and Rosa visit a ""silent"" disco to uncover new leads for their new drug task forc
","When an internal affairs investigator arrives with news regarding a possible mole in the precinct, Jake and Holt race to discover the mole before Wuntch does. Meanwhile, Rosa and Terry infiltrate a silent disco to find ""Giggle Pig"" suppliers and get a win for the task force, and Jake and Amy stumble upon Boyle and Gina's dirty little secret."
2,6,Jake and Sophia,9/11/14,8.2,2743,"Jake hits it off with a woman at a bar, but later finds out she is the attorney for a perp he is trying to put in jail. Meanwhile, Gina and Charles work to put their relationship behind them, and Amy is pressured into running for union rep.","Jake hits it off with a woman at a bar, but later finds out she is the attorney for a perp he is trying to put in jail. Meanwhile, Gina and Charles work to put their relationship behind them, and Amy is pressured into running for union rep.
","Eager to join the dating pool, Jake hits it off with a woman named Sophia who later reveals herself to be the attorney defending a perp Jake arrested. Rosa urges Amy to run for union rep to replace the incompetent Scully, and Charles and Gina fight over a non-refundable hotel room reservation they made before ending their affair."
2,7,Lockdown,16/11/2014,7.8,2629,"The precinct goes into lockdown mode on Thanksgiving night, and Jake, who was left in charge, is confident in his ability to keep spirits high and avoid chaos. Amy is less confident, as things spiral out of control.","The precinct goes into lockdown mode on Thanksgiving night, and Jake, who was left in charge, is confident in his ability to keep spirits high and avoid chaos. Amy is less confident, as things spiral out of control.
","Jake is given command of the precinct when Holt and Terry are called to a meeting. When a mysterious powder puts the precinct on lockdown, Jake struggles to maintain morale while Amy insists he be forthright about the situation. While Holt and Terry monitor the situation from Terry's home, Terry tries to appease his brother-in-law by claiming Holt is overbearing."
2,8,USPIS,23/11/2014,7.9,2624,"While attempting to catch a drug dealer, Jake and Charles reluctantly join forces with the nerdy lead investigator at the U.S. Postal Service, Jack Danger. Meanwhile, the rest of the team helps Amy quit smoking.","While attempting to catch a drug dealer, Jake and Charles reluctantly join forces with the nerdy lead investigator at the United States Postal inspection Service aka USPIS, Jack Danger. Meanwhile, the rest of the team helps Amy quit smoking.
","When Rosa gives Jake a new lead on ""Giggle Pig"", he and Charles are forced to contend with a self-righteous and incompetentU.S. Postal Inspection Serviceagent. Holt, Terry, and Gina attempt to help Amy with her cigarette addiction."
2,9,The Road Trip,30/11/2014,8.2,2689,"Jake and Amy have a case early in the morning, so they stay at a hotel overnight. Jake invites Sophia and Amy's boyfriend not knowing that Amy is planning on breaking up with him.","In an attempt to add a touch of romance to their work trip, Jake invites his girlfriend, Sophia, as well as Amy's boyfriend, Teddy, to join them at a B&B. Meanwhile, Rosa adamantly refuses to admit to Terry and Gina that she is sick, and Charles is eager to help Captain Holt with his anniversary breakfast.
","When Jake and Amy have to stay at a B&B in upstate New York on a work trip, Jake invites Sophia to share the evening with him, arranging for Teddy to join Amy as well, but his surprise backfires when he discovers that Amy is planning to break up with Teddy, which causes problems not only for Amy and Teddy but also for Jake and Sophia. Meanwhile, Boyle struggles to teach Holt how to properly cook for his anniversary breakfast with Kevin, and Terry and Gina struggle to convince a very sick Rosa that she should go home."
2,10,The Pontiac Bandit Returns,7/12/14,8.3,2662,"The Pontiac Bandit aka Doug Judy, is back in custody, after jamming up Jake and Rosa in his previous encounter with them. But when Rosa discovers that Judy knows the whereabouts of the ""Giggle Pig"" drug leader, Capt. Holt offers the perp a plea deal to help track down the drug kingpin. Meanwhile, Gina and Boyle are nervous that their parents might be getting too close, and Santiago makes Holt a Christmas gift against his wishes.","""The Pontiac Bandit,"" aka Doug Judy is back in custody, after jamming up Jake and Rosa in his previous encounter with them. But when Rosa discovers that Judy knows the whereabouts of the ""Giggle Pig"" drug leader, Captain Holt offers the perp a plea deal to help track down the drug kingpin. Meanwhile, Gina and Charles are nervous that their parents might be getting too close, and Santiago makes Captain Holt a Christmas gift against his wishes.
","Jake and Rosa manage to capture the Pontiac Bandit, Doug Judy, who negotiates a deal in exchange for information on the ringleader of the Giggle Pig ring, Tito Ruiz. Meanwhile, Charles and Gina discover a Christmas gift from Charles' father to Gina's mother, and determine to sabotage their parents' relationship. While making a collage for Capt. Holt, Amy discovers a mistake in one of the Captain's past cases."
2,11,Stakeout,14/12/2014,7.8,2571,"Jake and Boyle go on a stakeout and tensions rise between the two, Rosa shows interest in Holt's nephew, and Terry writes a book for his daughters. Santiago and Gina are displeased when they assume the characters in the book are based on them.","Jake and Charles' bro-mance starts to crack when they volunteer for an eight-day stakeout in very close quarters. Meanwhile, Captain Holt's nephew, Marcus, comes to Brooklyn and captures Rosa's attention. Amy and Gina also gets held up about Terry's new book
","A lead on Ukrainian mob activities leads Jake and Boyle to set up a stakeout that ends up covering eight days—and also causes escalating conflicts between the two ""roommates"". Elsewhere, Amy and Gina react strongly when they find out they're the basis for characters in a book Terry wrote for his daughters, while Rosa and Holt go from basking in commendations for the Giggle Pig task force to being uneasy about Rosa's new relationship with Holt's nephew Marcus."
2,12,Beach House,4/1/15,8.3,2698,The precinct's annual getaway to Boyle's beach house is ruined when Holt guilts Peralta into inviting him along for the festivities.,"The team is excited to spend the weekend at Charles's beach house for a detectives-only-getaway, until Jake ruins the fun by inviting Captain Holt. Meanwhile, Charles helps Rosa send romantic texts to her new boyfriend, and Gina tries to get Amy drunk, simply for her own enjoyment.
","Charles brings the detectives to his ex-wife’s beach house for another detectives-only fun weekend, but Jake invites Captain Holt along, since he learns that, because of his sexuality, Holt never was invited to any party while on the NYPD. However, because of Holt's old fashioned manners, the weekend soon becomes dull. Meanwhile, Gina wants to know which personality Amy becomes after a 6th drink."
2,13,Payback,11/1/15,8,2543,"Jake goes to great lengths to keep Terry's secret from the rest of the precinct, and Amy gets her chance to partner up with Captain Holt.","The squad decides it's high time Jake paid them back all the money he has owed them from over the years. Meanwhile, Amy and Holt team up to re-open the Brooklyn Broiler case.[1]
","When Terry asks Jake to pay back an amount of money he owes him, Jake finds out that Terry and his wife are expecting another child. Jake endeavors to settle all of his debts with his coworkers in an effort to preserve Terry's secret. He ends up selling his beloved car to pay back Terry, which earns him the title of godfather despite him revealing the secret to everyone. Meanwhile, Amy is ecstatic to work a case with Captain Holt until he solves it almost immediately and she gives himfood poisoning."
2,14,Defense Rests,25/01/2015,7.7,2497,Jake tries to impress Sophia's boss. Gina refuses to give her blessing to her mom's engagement. Holt faces a difficult decision.,"When Sophia's job gets in the way of her relationship with Jake, Jake tries to smooth things over with her boss. Meanwhile, Wuntch needs Captain Holt's help for a job recommendation.
","When Sophia's job gets in the way of her relationship with Jake, Jake tries to smooth things over with her boss but ends up having to arrest him after finding him taking cocaine. Meanwhile, Wuntch needs Holt's help for a job recommendation, and Charles tries to get Gina's blessing for their parents' wedding."
2,15,Windbreaker City,8/2/15,8.2,2561,"Jake is heartbroken over Sophia, but his spirits are lifted when the squad is invited to a Homeland Security terrorist training simulation.","Jake is heartbroken over Sophia, but his spirits are lifted when the squad is invited to a Homeland Security terrorist training simulation. That is, until the agent in charge assigns them the lame role of playing hostages. Meanwhile, Gina Linetti administers a psychological exam to Captain Holt and Amy and Rosa compete for a day off from work.
 
","The Nine-Nine are the only non-federal agency invited to the annual Inter-Agency Anti-Terrorism Drill. The squad turns the tables on Homeland Security, with Jake trying to get over Sophia, and Rosa and Amy competing for a weekend off. Meanwhile, Holt gets upset when he and Gina get the same score on a psychiatric evaluation as he believes he is better than her."
2,16,The Wednesday Incident,15/02/2015,8,2510,"Peralta sets out to prove that--for once--he is not the source of Captain Holt's bad mood. Boyle apprehends a notorious bank robber, who turns out to be a harmless-looking old man whom nobody else believes committed the crime.","When Jake notices that Holt has been acting moody, he teams up with Kevin to figure out what happened. Meanwhile, at the precinct, Charles tries to get a confession out of a geriatric suspect who pretends to be senile and adorable whenever Amy and Rosa are around.
","Captain Holt is in a bad mood, and Jake teams up with Kevin and Gina in an attempt to prove it isn't his fault and ends up finding out that he was stabbed. Meanwhile, Charles tries to get a confession out of a geriatric suspect who pretends to be senile and adorable whenever Amy and Rosa are around."
2,17,Boyle-Linetti Wedding,1/3/15,8.2,2582,"It's the day of Gina and Charles' parents' wedding, and the whole squad is given a job to fulfill for the ceremony. However, Jake and Amy get sidetracked chasing a criminal, and Terry struggles to officiate the wedding.","It's the day of Gina and Charles' parents' wedding, and the whole squad is given a job to fulfill for the ceremony. However, Jake and Amy get sidetracked chasing a criminal, and Terry struggles to officiate the wedding.
","On the day of the wedding of Charles' father and Gina's mother, the squad is forced to deal with various mishaps, like Jake and Amy leaving to pursue a perp and Jake losing the rings in the scuffle, and Charles' dad getting cold feet."
